date,Germany_UK_France,China,USA
01/01/2009,99.74735516,99.99515873,98.56684102
01/02/2009,99.82826182,99.97330788,98.72538347
01/03/2009,99.69704626,99.9970079,98.53079425
01/04/2009,99.7297724,99.98500766,98.27447578
01/05/2009,99.82299865,99.99969283,98.35383514
01/06/2009,99.76937275,99.99659677,98.01947477
01/07/2009,99.65385507,99.9982132,97.71430492
01/08/2009,99.51104681,100,98.04178332
01/09/2009,99.40435336,100,98.06630742
01/10/2009,99.59552834,99.99986881,97.93802054
01/11/2009,99.61905684,99.99916582,98.27592541
01/12/2009,99.59872857,99.99902907,98.43153887
01/01/2010,99.4268694,99.98933261,97.4936576
01/02/2010,99.61404863,99.99020136,97.82094304
01/03/2010,99.53025468,99.98903064,97.76028882
01/04/2010,99.62924256,99.98860101,97.52857112
01/05/2010,99.56333652,99.98999069,97.37604141
01/06/2010,99.55346479,99.98873353,97.73608265
01/07/2010,99.61926552,99.98617832,97.67388101
01/08/2010,99.60569232,99.98419087,97.53426956
01/09/2010,99.5247096,99.97857984,97.62567437
01/10/2010,99.70646091,99.98592404,97.39007643
01/11/2010,99.654597,99.9827235,97.55042284
01/12/2010,99.74776894,99.98653194,97.41229372
01/01/2011,99.59707346,99.95886368,97.52134834
01/02/2011,99.74215656,99.95523213,97.58061374
01/03/2011,99.42139466,99.95354407,97.13925436
01/04/2011,99.55449471,99.9578503,97.71593214
01/05/2011,99.66993435,99.94953748,98.26827715
01/06/2011,99.68605077,99.954686,98.54346328
01/07/2011,99.66157907,99.95645322,98.00854978
01/08/2011,99.73674381,99.95564028,97.8246484
01/09/2011,99.41846569,99.95621454,98.11959442
01/10/2011,99.6431275,99.95786225,97.80028756
01/11/2011,99.59456253,99.95598494,97.12471274
01/12/2011,99.54174224,99.9517557,97.20630916
01/01/2012,99.45864129,99.94271575,97.40912106
01/02/2012,99.64718483,99.91148279,96.63569295
01/03/2012,99.29509082,99.8945854,96.19551239
01/04/2012,99.43871929,99.92184883,96.2134037
01/05/2012,99.52630221,99.91243221,96.88415471
01/06/2012,99.47608043,99.93143095,96.98165083
01/07/2012,99.36753338,99.93900213,96.92449416
01/08/2012,99.26109656,99.88122787,96.64715739
01/09/2012,99.16296027,99.89820768,96.51843837
01/10/2012,99.25317135,99.90361894,96.23359835
01/11/2012,99.38072189,99.86144501,96.24125578
01/12/2012,99.39018975,99.71779245,96.12805414
01/01/2013,99.39018593,99.93360285,96.19483313
01/02/2013,99.38029085,99.94762488,96.10690426
01/03/2013,99.26085084,99.88228087,96.22073761
01/04/2013,99.39808556,99.88972313,96.02907548
01/05/2013,99.33030489,99.90366314,95.99822801
01/06/2013,99.49210331,99.909489,96.08546895
01/07/2013,99.46996305,99.89775214,95.8965061
01/08/2013,99.45566832,99.89464907,95.63747362
01/09/2013,99.38443498,99.89073774,96.25896815
